Country,Date Start,Date end intended
United Kingdom,18-Mar-20,18-Apr-20
Vietnam,3-Feb-20,10-Feb-20
Vietnam,1-Feb-20,1-May-20
Vietnam,1-Feb-20,2-Feb-20
San Marino,14-Mar-20,6-Apr-20
Slovenia,11-Mar-20,25-Mar-20
Slovenia,23-Mar-20,30-Sep-20
Hong Kong,27-Mar-20,12-Apr-20
Hong Kong,25-Mar-20,31-Mar-20
Hong Kong,25-Mar-20,8-Apr-20
Hong Kong,21-Mar-20,24-Apr-20
Hong Kong,25-Feb-20,20-Apr-20
China,2-Feb-20,8-Feb-20
Italy,12-Mar-20,25-Mar-20
Italy,12-Mar-20,25-Mar-20
Italy,8-Mar-20,4-Apr-20
Italy,8-Mar-20,4-Apr-20
Italy,8-Mar-20,4-Apr-20
Italy,8-Mar-20,4-Apr-20
Italy,8-Mar-20,4-Apr-20
Czechia,14-Mar-20,24-Mar-20
Czechia,14-Mar-20,24-Mar-20
New Zealand,2-Feb-20,28-Feb-20
China,8-Feb-20,10-Feb-20
Romania,16-Mar-20,15-Apr-20
Belgium,14-Mar-20,3-Apr-20
Luxembourg,16-Mar-20,27-Mar-20
Portugal,13-Mar-20,9-Apr-20
Albania,16-Mar-20,26-Mar-20
Austria,15-Mar-20,4-Apr-20
Austria,17-Mar-20,4-Apr-20
Austria,15-Mar-20,22-Mar-20
Azerbaijan,28-Feb-20,13-Mar-20
Spain,12-Mar-20,26-Mar-20
Spain,10-Mar-20,25-Mar-20
Spain,11-Mar-20,26-Mar-20
France,15-Mar-20,15-Apr-20
Bosnia and Herzegovina,11-Mar-20,30-Mar-20
Bulgaria,13-Mar-20,13-Apr-20
Denmark,13-Mar-20,27-Mar-20
Denmark,16-Mar-20,30-Mar-20
Denmark,13-Mar-20,27-Mar-20
Finland,16-Mar-20,13-Apr-20
Finland,27-Jan-20,31-Mar-20
Estonia,13-Mar-20,1-May-20
Finland,16-Mar-20,13-Apr-20
Finland,16-Mar-20,13-Apr-20
Finland,16-Mar-20,13-Apr-20
Finland,16-Mar-20,13-Apr-20
Finland,16-Mar-20,13-Apr-20
Finland,16-Mar-20,13-Apr-20
France,17-Mar-20,31-Mar-20
Latvia,13-Mar-20,14-Apr-20
Luxembourg,16-Mar-20,27-Mar-20
Lithuania,16-Mar-20,30-Mar-20
Lithuania,16-Mar-20,30-Mar-20
Malta,13-Mar-20,20-Mar-20
Georgia,16-Mar-20,30-Mar-20
Moldova,17-Mar-20,31-Mar-20
Moldova,17-Mar-20,31-Mar-20
Greece,12-Mar-20,26-Mar-20
Greece,10-Mar-20,24-Mar-20
Netherlands,15-Mar-20,6-Apr-20
Netherlands,12-Mar-20,1-Apr-20
Latvia,13-Mar-20,14-Apr-20
Netherlands,15-Mar-20,6-Apr-20
Iceland,16-Mar-20,10-Apr-20
Macedonia,10-Mar-20,24-Mar-20
Ireland,1-Mar-20,15-Mar-20
Ireland,15-Mar-20,29-Mar-20
Ireland,12-Mar-20,29-Mar-20
Ireland,15-Mar-20,29-Mar-20
Turkey,16-Mar-20,30-Apr-20
Turkey,16-Mar-20,23-Mar-20
Turkey,16-Mar-20,6-Apr-20
Poland,12-Mar-20,25-Mar-20
Ukraine,12-Mar-20,4-Apr-20
Portugal,16-Mar-20,9-Apr-20
Slovakia,14-Mar-20,30-Mar-20
United States,16-Mar-20,30-Mar-20
United States,16-Mar-20,6-Apr-20
Switzerland,13-Mar-20,4-Apr-20
Norway,12-Mar-20,26-Mar-20
Norway,12-Mar-20,26-Mar-20
Romania,8-Mar-20,31-Mar-20
Romania,11-Mar-20,31-Mar-20
Norway,12-Mar-20,26-Mar-20
Romania,9-Mar-20,23-Mar-20
Germany,13-Mar-20,20-Apr-20
US: Florida,15-Mar-20,31-Mar-20
Czechia,5-Mar-20,19-Mar-20
Iran,6-Mar-20,20-Mar-20
Czechia,16-Mar-20,24-Mar-20
US: Florida,23-Mar-20,6-Apr-20
Russia,17-Mar-20,10-Apr-20
Russia,10-Mar-20,10-Apr-20
Belgium,18-Mar-20,5-Apr-20
Russia,18-Mar-20,1-May-20
Russia,23-Mar-20,12-Apr-20
Russia,16-Mar-20,20-Mar-20
Russia,16-Mar-20,10-Apr-20
Russia,13-Mar-20,20-Mar-20
Romania,12-Mar-20,12-Sep-20
Romania,10-Mar-20,31-Mar-20
US:N Carolina,14-Mar-20,28-Mar-20
US: Arizona,15-Mar-20,27-Mar-20
US: Oregon,16-Mar-20,16-Apr-20
