START_DATE*,END_DATE*,CATEGORY*,MILES*
1/1/2016 21:11,1/1/2016 21:17,Business,5.1
1/2/2016 1:25,1/2/2016 1:37,Business,5.0
1/2/2016 20:25,1/2/2016 20:38,Business,4.8
1/5/2016 17:31,1/5/2016 17:45,Business,4.7
1/6/2016 14:42,1/6/2016 15:49,Business,63.7
1/6/2016 17:15,1/6/2016 17:19,Business,4.3
1/6/2016 17:30,1/6/2016 17:35,Business,7.1
1/7/2016 13:27,1/7/2016 13:33,Business,0.8
1/10/2016 8:05,1/10/2016 8:25,Business,8.3
1/10/2016 12:17,1/10/2016 12:44,Business,16.5
1/10/2016 15:08,1/10/2016 15:51,Business,10.8
1/10/2016 18:18,1/10/2016 18:53,Business,7.5
1/10/2016 19:12,1/10/2016 19:32,Business,6.2
1/11/2016 8:55,1/11/2016 9:21,Business,6.4
1/11/2016 11:56,1/11/2016 12:03,Business,1.6
1/11/2016 13:32,1/11/2016 13:46,Business,1.7
1/11/2016 14:30,1/11/2016 14:43,Business,1.9
1/12/2016 12:33,1/12/2016 12:49,Business,1.9
1/12/2016 12:53,1/12/2016 13:09,Business,4.0
1/12/2016 14:42,1/12/2016 14:56,Business,1.8
1/12/2016 15:13,1/12/2016 15:28,Business,2.4
1/12/2016 15:42,1/12/2016 15:54,Business,2.0
1/12/2016 16:02,1/12/2016 17:00,Business,15.1
1/13/2016 13:54,1/13/2016 14:07,Business,11.2
1/13/2016 15:00,1/13/2016 15:28,Business,11.8
1/14/2016 16:29,1/14/2016 17:05,Business,21.9
1/14/2016 21:39,1/14/2016 21:45,Business,3.9
1/15/2016 0:41,1/15/2016 1:01,Business,8.0
1/15/2016 11:43,1/15/2016 12:03,Business,10.4
1/15/2016 13:26,1/15/2016 13:44,Business,10.4
1/18/2016 14:55,1/18/2016 15:06,Business,4.8
1/18/2016 16:13,1/18/2016 16:24,Business,4.7
1/19/2016 9:09,1/19/2016 9:23,Business,7.2
1/19/2016 10:55,1/19/2016 11:09,Business,7.6
1/20/2016 10:36,1/20/2016 11:11,Business,17.1
1/20/2016 11:48,1/20/2016 12:19,Business,15.1
1/20/2016 13:25,1/20/2016 14:19,Business,40.2
1/21/2016 14:25,1/21/2016 14:29,Business,1.6
1/21/2016 14:43,1/21/2016 14:51,Business,2.4
1/21/2016 16:01,1/21/2016 16:06,Business,1.0
1/26/2016 10:41,1/26/2016 10:50,Business,2.0
1/26/2016 12:33,1/26/2016 12:41,Business,2.3
1/26/2016 16:24,1/26/2016 16:32,Business,1.9
1/26/2016 17:17,1/26/2016 17:22,Business,1.4
1/26/2016 17:27,1/26/2016 17:29,Business,0.5
1/27/2016 9:24,1/27/2016 9:31,Business,1.8
1/27/2016 10:19,1/27/2016 10:48,Business,18.7
1/27/2016 12:34,1/27/2016 12:44,Business,3.4
1/27/2016 14:05,1/27/2016 14:13,Business,2.7
1/27/2016 14:46,1/27/2016 15:08,Business,12.9
1/28/2016 12:28,1/28/2016 13:00,Business,19.0
1/28/2016 15:11,1/28/2016 15:31,Business,14.7
1/28/2016 16:21,1/28/2016 16:51,Business,15.7
1/29/2016 9:31,1/29/2016 9:45,Business,4.6
1/29/2016 10:56,1/29/2016 11:07,Business,5.2
1/29/2016 11:43,1/29/2016 12:03,Business,10.4
1/29/2016 13:24,1/29/2016 13:47,Business,10.1
1/29/2016 18:31,1/29/2016 18:52,Business,5.8
1/29/2016 21:21,1/29/2016 21:40,Business,5.5
1/30/2016 16:21,1/30/2016 16:33,Business,5.7
1/30/2016 18:09,1/30/2016 18:24,Business,5.7
2/1/2016 10:35,2/1/2016 11:15,Business,19.4
2/1/2016 12:10,2/1/2016 12:43,Business,23.3
2/1/2016 12:56,2/1/2016 13:07,Business,3.9
2/2/2016 13:04,2/2/2016 13:23,Business,8.3
2/2/2016 13:51,2/2/2016 14:06,Business,6.0
2/2/2016 14:38,2/2/2016 14:42,Business,1.6
2/4/2016 8:40,2/4/2016 9:01,Business,5.2
2/4/2016 9:37,2/4/2016 10:09,Business,9.7
2/4/2016 10:26,2/4/2016 10:32,Business,1.6
2/4/2016 15:59,2/4/2016 16:03,Business,1.1
2/4/2016 16:35,2/4/2016 16:39,Business,1.6
2/4/2016 18:04,2/4/2016 18:31,Business,9.0
